サブタスク,進捗,開始時間,期限,責任者,所属メインタスク,関連資料,備考,親レコード 2
GBase Support监控指标收集,処理待ち,2025/07/14,2025/07/18,王宝石,GBase Support监控指标收集,,備考を入力...,
北极星指标收集,進行中,2025/07/14,2025/07/18,shuirong,GBase Support监控指标收集,GBaseSupport北极星指标讨论（水溶）目标：7月中旬上线,,GBase Support监控指标收集
大客户服务质量监控指标,処理待ち,2025/07/14,2025/07/18,"shuirong,王宝石",GBase Support监控指标收集,,关注回答失败，点踩，出错等问题的持续跟踪，不断提高服务质量。,GBase Support监控指标收集
HIS-Mobile,進行中,2025/07/14,2025/08/31,王宝石,GBase Support监控指标收集,GBaseSupport北极星指标分析,手动监控中,大客户服务质量监控指标
AI-Inside,進行中,2025/07/14,2025/08/31,王宝石,GBase Support监控指标收集,GBaseSupport北极星指标分析,手动监控中,大客户服务质量监控指标
其他告警指标,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,GBase Support监控指标收集
大模型无法提供服务,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,其他告警指标
系统错误,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,其他告警指标
测试相关监控,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,GBase Support监控指标收集
回归测试质量,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,测试相关监控
客户反馈相关,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,GBase Support监控指标收集
每日反馈件数,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,客户反馈相关
12小时解决率,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,客户反馈相关
24小时解决率,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,客户反馈相关
48小时解决率,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,客户反馈相关
质量指标,処理待ち,2025/07/14,2025/07/31,Zhu Hongyu,GBase Support监控指标收集,,,GBase Support监控指标收集
平均首字符响应时间,処理待ち,2025/07/14,2025/07/31,Zhu Hongyu,GBase Support监控指标收集,,,质量指标
用户相关,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,转化率计算,,GBase Support监控指标收集
每日活跃用户数,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,用户相关
90天累积转化率,処理待ち,2025/07/14,2025/07/31,王宝石,GBase Support监控指标收集,,,用户相关
GBase监控指标收集,処理待ち,2025/07/14,2025/07/18,龙海,GBase监控指标收集,,,
北极星指标收集,処理待ち,2025/07/14,2025/07/18,龙海,GBase监控指标收集,,,GBase监控指标收集
Felo Subtitles监控指标收集,処理待ち,2025/07/14,2025/07/18,Mike杨,Felo Subtitles监控指标收集,,,
北极星指标收集,処理待ち,2025/07/14,2025/07/18,Mike杨,Felo Subtitles监控指标收集,,,Felo Subtitles监控指标收集
GBase GTM监控指标收集,処理待ち,2025/07/14,2025/07/18,LiuLuke,GBase GTM监控指标收集,,,
北极星指标收集,処理待ち,2025/07/14,2025/07/18,LiuLuke,GBase GTM监控指标收集,,,GBase GTM监控指标收集
